variable	classification_P	type	datatype	dependent	direction	psytype	parent	study	uniqueVarID	classification_P_20150828_1345	rater
afraid to say no	self-efficacy	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_afraidtosayno	self-efficacy	P
curiosity	attitude	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_curiosity	attitude	P
everyone smokes	descriptive norm	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_everyonesmokes	descriptive norm	P
feel lonely	attitude	question	logical	initiation	consistent	belief		ahmed2004.r	ahmed2004.r_feellonely	attitude	P
for fun	attitude	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_forfun	attitude	P
forget problems	attitude	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_forgetproblems	attitude	P
gum disease	risk perception	question	logical	initiation	inconsistent	belief	NA	ahmed2004.r	ahmed2004.r_gumdisease	risk perception	P
heart disease	risk perception	question	logical	initiation	inconsistent	belief	NA	ahmed2004.r	ahmed2004.r_heartdisease	risk perception	P
knowledge of health risks	risk perception	aggregate	numeric	initiation	inconsistent	determinant	NA	ahmed2004.r	ahmed2004.r_knowledgeofhealthrisks	risk perception	P
life is boring	attitude	question	logical	initiation	consistent	belief		ahmed2004.r	ahmed2004.r_lifeisboring	attitude	P
lung cancer	risk perception	question	logical	initiation	inconsistent	belief	NA	ahmed2004.r	ahmed2004.r_lungcancer	risk perception	P
mouth cancer	risk perception	question	logical	initiation	inconsistent	belief	NA	ahmed2004.r	ahmed2004.r_mouthcancer	risk perception	P
relax	attitude	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_relax	attitude	P
short-term health risk	risk perception	question	logical	initiation	inconsistent	belief	NA	ahmed2004.r	ahmed2004.r_shorttermhealthrisk	risk perception	P
smoking	behavior	question	logical	initiation	consistent	behavior	NA	ahmed2004.r	ahmed2004.r_smoking	behavior	P
stress	stress	question	logical	initiation	consistent	determinant		ahmed2004.r	ahmed2004.r_stress	stress	P
stress at home (reason)	stress	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_stressathomereason	stress	P
stress at home (stress)	stress	question	logical	initiation	consistent	belief		ahmed2004.r	ahmed2004.r_stressathomestress	stress	P
stress at school work	stress	question	logical	initiation	consistent	belief		ahmed2004.r	ahmed2004.r_stressatschoolwork	stress	P
stroke	risk perception	question	logical	initiation	inconsistent	belief	NA	ahmed2004.r	ahmed2004.r_stroke	risk perception	P
to be cool	injunctive norm	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_tobecool	injunctive norm	P
to please a friend	injunctive norm	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_topleaseafriend	injunctive norm	P
Cessation	behavior	question	logical	cessation	consistent	behavior	NA	Ayo-Yusuf2010.r	Ayo-Yusuf2010.r_cessation	behavior	P
Descriptive norm (home)	descriptive norm	question	logical	cessation	consistent	belief		Ayo-Yusuf2010.r	Ayo-Yusuf2010.r_descriptivenormhome	descriptive norm	P
Descriptive norm (workplace)	descriptive norm	question	logical	cessation	consistent	belief		Ayo-Yusuf2010.r	Ayo-Yusuf2010.r_descriptivenormworkplace	descriptive norm	P
Smoking is harmful	risk perception	question	logical	cessation	consistent	belief		Ayo-Yusuf2010.r	Ayo-Yusuf2010.r_smokingisharmful	risk perception	P
Smoker approximates ideal conformity	attitude	question	numeric	initiation	consistent	belief		Barton1982.r	Barton1982.r_smokerapproximatesidealconformity	attitude	P
Smoker approximates ideal drinking behavior	attitude	question	numeric	initiation	consistent	belief		Barton1982.r	Barton1982.r_smokerapproximatesidealdrinkingbehavior	attitude	P
Smoker approximates ideal goodness	attitude	question	numeric	initiation	consistent	belief		Barton1982.r	Barton1982.r_smokerapproximatesidealgoodness	attitude	P
Smoker approximates ideal healthiness	attitude	question	numeric	initiation	consistent	belief		Barton1982.r	Barton1982.r_smokerapproximatesidealhealthiness	attitude	P
Smoker approximates ideal looks	attitude	question	numeric	initiation	consistent	belief		Barton1982.r	Barton1982.r_smokerapproximatesideallooks	attitude	P
Smoker approximates ideal maturity	attitude	question	numeric	initiation	consistent	belief		Barton1982.r	Barton1982.r_smokerapproximatesidealmaturity	attitude	P
Smoker approximates ideal relaxedness	attitude	question	numeric	initiation	consistent	belief		Barton1982.r	Barton1982.r_smokerapproximatesidealrelaxedness	attitude	P
Smoker approximates ideal school performance	attitude	question	numeric	initiation	consistent	belief		Barton1982.r	Barton1982.r_smokerapproximatesidealschoolperformance	attitude	P
Smoker approximates ideal sexual orientation	attitude	question	numeric	initiation	consistent	belief		Barton1982.r	Barton1982.r_smokerapproximatesidealsexualorientation	attitude	P
Smoker approximates ideal sociability	attitude	question	numeric	initiation	consistent	belief		Barton1982.r	Barton1982.r_smokerapproximatesidealsociability	attitude	P
Smoker approximates ideal toughness	attitude	question	numeric	initiation	consistent	belief		Barton1982.r	Barton1982.r_smokerapproximatesidealtoughness	attitude	P
Smoker approximates ideal wisdom	attitude	question	numeric	initiation	consistent	belief		Barton1982.r	Barton1982.r_smokerapproximatesidealwisdom	attitude	P
Smoking initiation intention	intention	question	numeric	initiation	consistent	proxy		Barton1982.r	Barton1982.r_smokinginitiationintention	intention	P
Cravings cause disregard of set rules	disengagement beliefs	question	text	cessation	inconsistent	belief		Berg2013.r	Berg2013.r_cravingscausedisregardofsetrules	disengagement beliefs	P
Family advice motivates to quit	injunctive norm	question	text	cessation	consistent	belief		Berg2013.r	Berg2013.r_familyadvicemotivatestoquit	injunctive norm	P
Initiation of cancer treatment motivates to quit	attitude	question	text	cessation	consistent	belief		Berg2013.r	Berg2013.r_initiationofcancertreatmentmotivatestoquit	attitude	P
No other relief available (anxiety)	attitude	question	text	cessation	inconsistent	belief		Berg2013.r	Berg2013.r_nootherreliefavailableanxiety	attitude	P
No other relief available (hopelessness)	attitude	question	text	cessation	inconsistent	belief		Berg2013.r	Berg2013.r_nootherreliefavailablehopelessness	attitude	P
No other relief available (stress)	attitude	question	text	cessation	inconsistent	belief		Berg2013.r	Berg2013.r_nootherreliefavailablestress	attitude	P
Quitting aides success of chemotherapy treatment	attitude	question	text	cessation	consistent	belief		Berg2013.r	Berg2013.r_quittingaidessuccessofchemotherapytreatment	attitude	P
Quitting causes severe discomfort	attitude	question	text	cessation	inconsistent	belief		Berg2013.r	Berg2013.r_quittingcausesseverediscomfort	attitude	P
Quitting decreases cancer spread	risk perception	question	text	cessation	consistent	belief		Berg2013.r	Berg2013.r_quittingdecreasescancerspread	risk perception	P
Quitting decreases imminence of death	risk perception	question	text	cessation	consistent	belief		Berg2013.r	Berg2013.r_quittingdecreasesimminenceofdeath	risk perception	P
Quitting is difficult with smoking partner	descriptive norm	question	text	cessation	inconsistent	belief		Berg2013.r	Berg2013.r_quittingisdifficultwithsmokingpartner	descriptive norm	P
Quitting is smart	attitude	question	text	cessation	consistent	belief		Berg2013.r	Berg2013.r_quittingissmart	attitude	P
Quitting makes health problems beyond cancer less likely	risk perception	question	text	cessation	consistent	belief		Berg2013.r	Berg2013.r_quittingmakeshealthproblemsbeyondcancerlesslikely	risk perception	P
Quitting makes physician provide cancer treatment	risk perception	question	text	cessation	consistent	belief		Berg2013.r	Berg2013.r_quittingmakesphysicianprovidecancertreatment	risk perception	P
Quitting raises mental addiction	disengagement beliefs	question	text	cessation	inconsistent	belief		Berg2013.r	Berg2013.r_quittingraisesmentaladdiction	disengagement beliefs	P
quitting will decrease the odds of more chemotherapy treatment	risk perception	question	text	cessation	consistent	belief		Berg2013.r	Berg2013.r_quittingwilldecreasetheoddsofmorechemotherapytreatment	risk perception	P
Quitting with partner	injunctive norm	question	text	cessation	consistent	belief		Berg2013.r	Berg2013.r_quittingwithpartner	injunctive norm	P
Regret of re-initiation aides quitting	attitude	question	text	cessation	consistent	belief		Berg2013.r	Berg2013.r_regretofreinitiationaidesquitting	attitude	P
Self-control is difficult around smokers	self-efficacy	question	text	cessation	inconsistent	belief		Berg2013.r	Berg2013.r_selfcontrolisdifficultaroundsmokers	self-efficacy	P
Smoking alleviates stress	attitude	question	text	cessation	inconsistent	belief		Berg2013.r	Berg2013.r_smokingalleviatesstress	attitude	P
Surgeon refuses to operate on smokers	attitude	question	text	cessation	consistent	belief		Berg2013.r	Berg2013.r_surgeonrefusestooperateonsmokers	attitude	P
Use of replacement stimulus helps break smoking habit	self-efficacy	question	text	cessation	consistent	belief		Berg2013.r	Berg2013.r_useofreplacementstimulushelpsbreaksmokinghabit	self-efficacy	P
Bad idea for children to smoke	attitude	question	logical	initiation	inconsistent	belief	NA	Bewley1974.r	Bewley1974.r_badideaforchildrentosmoke	attitude	P
Nice to smoke with friends	injunctive norm	question	logical	initiation	consistent	belief	NA	Bewley1974.r	Bewley1974.r_nicetosmokewithfriends	injunctive norm	P
Parents should not be angry if their children smoke	moral norm	question	logical	initiation	consistent	belief	NA	Bewley1974.r	Bewley1974.r_parentsshouldnotbeangryiftheirchildrensmoke	moral norm	P
People my age smoke to show off	attitude	question	logical	initiation	consistent	belief	NA	Bewley1974.r	Bewley1974.r_peoplemyagesmoketoshowoff	attitude	P
Smoking causes cancer	risk perception	question	logical	initiation	inconsistent	belief	NA	Bewley1974.r	Bewley1974.r_smokingcausescancer	risk perception	P
Smoking is a waste of money	attitude	question	logical	initiation	inconsistent	belief	NA	Bewley1974.r	Bewley1974.r_smokingisawasteofmoney	attitude	P
Smoking is enjoyable	attitude	question	logical	initiation	consistent	belief	NA	Bewley1974.r	Bewley1974.r_smokingisenjoyable	attitude	P
Smoking is not harmful	risk perception	question	logical	initiation	consistent	belief	NA	Bewley1974.r	Bewley1974.r_smokingisnotharmful	risk perception	P
Smoking makes you feel grown up	attitude	question	logical	initiation	consistent	belief	NA	Bewley1974.r	Bewley1974.r_smokingmakesyoufeelgrownup	attitude	P
Smoking status	behavior	question	ordinal	initiation	consistent	behavior	NA	Bewley1974.r	Bewley1974.r_smokingstatus	behavior	P
Attitude toward smoking	attitude	aggregate	numeric	initiation	consistent	belief	NA	Bidstrup2009.r	Bidstrup2009.r_attitudetowardsmoking	attitude	P
Best friend smokes	descriptive norm	question	nominal	initiation	consistent	belief	NA	Bidstrup2009.r	Bidstrup2009.r_bestfriendsmokes	descriptive norm	P
Best friend smokes (No & Don't know)	descriptive norm	question	nominal	initiation	consistent	belief	Best friend smokes	Bidstrup2009.r	Bidstrup2009.r_bestfriendsmokesnodontknow	descriptive norm	P
Father smokes	descriptive norm	question	nominal	initiation	consistent	belief	NA	Bidstrup2009.r	Bidstrup2009.r_fathersmokes	descriptive norm	P
Father smokes (No & Don't know)	descriptive norm	question	nominal	initiation	consistent	belief	Father smokes	Bidstrup2009.r	Bidstrup2009.r_fathersmokesnodontknow	descriptive norm	P
Mother smokes	descriptive norm	question	nominal	initiation	consistent	belief	NA	Bidstrup2009.r	Bidstrup2009.r_mothersmokes	descriptive norm	P
Mother smokes (No & Yes)	descriptive norm	question	nominal	initiation	consistent	belief	Mother smokes	Bidstrup2009.r	Bidstrup2009.r_mothersmokesnoyes	descriptive norm	P
Self-efficacy	self-efficacy	question	numeric	initiation	inconsistent	belief	NA	Bidstrup2009.r	Bidstrup2009.r_selfefficacy	self-efficacy	P
Smoking at 1st follow up	behavior	aggregate	logical	initiation	consistent	behavior	NA	Bidstrup2009.r	Bidstrup2009.r_smokingat1stfollowup	behavior	P
Smoking at 2nd follow up	behavior	aggregate	logical	initiation	consistent	behavior	NA	Bidstrup2009.r	Bidstrup2009.r_smokingat2ndfollowup	behavior	P
Social influence (norms)	injunctive norm	aggregate	numeric	initiation	inconsistent	determinant	NA	Bidstrup2009.r	Bidstrup2009.r_socialinfluencenorms	injunctive norm	P
Social influence (pressure)	injunctive norm	aggregate	numeric	initiation	consistent	determinant	NA	Bidstrup2009.r	Bidstrup2009.r_socialinfluencepressure	injunctive norm	P
negative effects on looks	attitude	question	text	initiation	inconsistent	belief		Bidstrup2011.r	Bidstrup2011.r_negativeeffectsonlooks	attitude	P
negative effects on physical shape	attitude	question	text	initiation	inconsistent	belief		Bidstrup2011.r	Bidstrup2011.r_negativeeffectsonphysicalshape	attitude	P
negative effects on smell	attitude	question	text	initiation	inconsistent	belief		Bidstrup2011.r	Bidstrup2011.r_negativeeffectsonsmell	attitude	P
negative health effects	risk perception	question	text	initiation	inconsistent	belief		Bidstrup2011.r	Bidstrup2011.r_negativehealtheffects	risk perception	P
Pressure to smoke from friends	injunctive norm	question	text	initiation	consistent	belief		Bidstrup2011.r	Bidstrup2011.r_pressuretosmokefromfriends	injunctive norm	P
risks of addiction	attitude	question	text	initiation	inconsistent	belief		Bidstrup2011.r	Bidstrup2011.r_risksofaddiction	attitude	P
Self-efficacy to resist smoking on situational social opportunities	self-efficacy	question	text	initiation	consistent	belief		Bidstrup2011.r	Bidstrup2011.r_selfefficacytoresistsmokingonsituationalsocialopportunities	self-efficacy	P
Smoking is disgusting	attitude	question	text	initiation	inconsistent	belief		Bidstrup2011.r	Bidstrup2011.r_smokingisdisgusting	attitude	P
Smoking is stupid	attitude	question	text	initiation	inconsistent	belief		Bidstrup2011.r	Bidstrup2011.r_smokingisstupid	attitude	P
Smoking-opportunity is often facilitated by friends	descriptive norm	question	text	initiation	consistent	belief		Bidstrup2011.r	Bidstrup2011.r_smokingopportunityisoftenfacilitatedbyfriends	descriptive norm	P
Affected acquaintance	injunctive norm	question	logical	cessation	consistent	determinant	NA	Bosse1973.r	Bosse1973.r_affectedacquaintance	injunctive norm	P
cessation	behavior	question	logical	cessation	consistent	behavior	NA	Bosse1973.r	Bosse1973.r_cessation	behavior	P
Warning label awareness	attitude	question	logical	initiation	consistent	determinant		Bosse1973.r	Bosse1973.r_warninglabelawareness	attitude	P
Addiction	irrelevant	aggregate	numeric	cessation	inconsistent	determinant	NA	Brandstetter2012.r	Brandstetter2012.r_addiction	irrelevant	P
Baseline CPD	irrelevant	question	numeric	cessation	consistent	behavior	NA	Brandstetter2012.r	Brandstetter2012.r_baselinecpd	irrelevant	P
Cessation in past 7 days	behavior	question	logical	cessation	consistent	behavior	NA	Brandstetter2012.r	Brandstetter2012.r_cessationinpast7days	behavior	P
Confidence in quitting	self-efficacy	question	numeric	cessation	consistent	determinant	NA	Brandstetter2012.r	Brandstetter2012.r_confidenceinquitting	self-efficacy	P
gender	demographic	question	logical	cessation		demographic	NA	Brandstetter2012.r	Brandstetter2012.r_gender	demographic	P
Increased CPD	irrelevant	question	numeric	cessation	inconsistent	behavior	NA	Brandstetter2012.r	Brandstetter2012.r_increasedcpd	irrelevant	P
Low confidence in ability to quit	self-efficacy	aggregate	numeric	cessation	inconsistent	determinant	NA	Brandstetter2012.r	Brandstetter2012.r_lowconfidenceinabilitytoquit	self-efficacy	P
Motivation to quit	intention	question	numeric	cessation	consistent	proxy	NA	Brandstetter2012.r	Brandstetter2012.r_motivationtoquit	intention	P
Prior quit attempts	behavior	question	numeric	cessation	consistent	behavior	NA	Brandstetter2012.r	Brandstetter2012.r_priorquitattempts	behavior	P
Quit outcome	behavior	question	logical	cessation	consistent	behavior	NA	Brandstetter2012.r	Brandstetter2012.r_quitoutcome	behavior	P
Reasons for smoking	attitude	aggregate	nominal	cessation	inconsistent	proxy	NA	Brandstetter2012.r	Brandstetter2012.r_reasonsforsmoking	attitude	P
Smoking within 30 mins of waking	behavior	question	logical	cessation	inconsistent	behavior	NA	Brandstetter2012.r	Brandstetter2012.r_smokingwithin30minsofwaking	behavior	P
Depressive symptoms	irrelevant	aggregate	numeric	initiation	consistent	determinant	NA	Carvajal2006.r	Carvajal2006.r_depressivesymptoms	irrelevant	P
Global positive expectancies	attitude	aggregate	numeric	initiation	inconsistent	determinant	NA	Carvajal2006.r	Carvajal2006.r_globalpositiveexpectancies	attitude	P
initiation	behavior	question	logical	initiation	consistent	behavior	NA	Carvajal2006.r	Carvajal2006.r_initiation	behavior	P
Maladaptive coping	coping	aggregate	numeric	initiation	consistent	determinant	NA	Carvajal2006.r	Carvajal2006.r_maladaptivecoping	coping	P
Negative attitudes	attitude	aggregate	numeric	initiation	inconsistent	determinant	NA	Carvajal2006.r	Carvajal2006.r_negativeattitudes	attitude	P
Perceived risk	risk perception	aggregate	numeric	initiation	NA	determinant	NA	Carvajal2006.r	Carvajal2006.r_perceivedrisk	risk perception	P
Positive attitudes	attitude	aggregate	numeric	initiation	consistent	determinant	NA	Carvajal2006.r	Carvajal2006.r_positiveattitudes	attitude	P
Self efficacy	self-efficacy	aggregate	numeric	initiation	inconsistent	determinant	NA	Carvajal2006.r	Carvajal2006.r_selfefficacy	self-efficacy	P
Smoking intentions	intention	aggregate	numeric	initiation	consistent	proxy	NA	Carvajal2006.r	Carvajal2006.r_smokingintentions	intention	P
Alleviates boredom	attitude	question	logical	initiation	consistent	belief	NA	chen1999.r	chen1999.r_alleviatesboredom	attitude	P
Feel OK around smokers	attitude	question	logical	initiation	consistent	belief	NA	chen1999.r	chen1999.r_feelokaroundsmokers	attitude	P
Friend smoking (f)	descriptive norm	question	logical	initiation	consistent	belief	NA	chen1999.r	chen1999.r_friendsmokingf	descriptive norm	P
Friend smoking (m)	descriptive norm	question	logical	initiation	consistent	belief	NA	chen1999.r	chen1999.r_friendsmokingm	descriptive norm	P
Good at parties	attitude	question	logical	initiation	consistent	belief	NA	chen1999.r	chen1999.r_goodatparties	attitude	P
Hate being around smokers	irrelevant	question	logical	initiation	inconsistent	belief	NA	chen1999.r	chen1999.r_hatebeingaroundsmokers	irrelevant	P
Parents approve of my smoking	injunctive norm	question	logical	initiation	consistent	belief	NA	chen1999.r	chen1999.r_parentsapproveofmysmoking	injunctive norm	P
Parent smoking	descriptive norm	question	logical	initiation	consistent	belief	NA	chen1999.r	chen1999.r_parentsmoking	descriptive norm	P
Sibling smoking	descriptive norm	question	logical	initiation	consistent	belief	NA	chen1999.r	chen1999.r_siblingsmoking	descriptive norm	P
Smokers turn me off	attitude	question	logical	initiation	inconsistent	belief	NA	chen1999.r	chen1999.r_smokersturnmeoff	attitude	P
Smoking helps relax	attitude	question	logical	initiation	consistent	belief	NA	chen1999.r	chen1999.r_smokinghelpsrelax	attitude	P
Smoking initiation	behavior	question	logical	initiation	consistent	behavior	NA	chen1999.r	chen1999.r_smokinginitiation	behavior	P
Teacher smoking	descriptive norm	question	logical	initiation	consistent	belief	NA	chen1999.r	chen1999.r_teachersmoking	descriptive norm	P
Bad breath is the worst about smoking	attitude	question	numeric	initiation		behavior	NA	cortes2005.r	cortes2005.r_badbreathistheworstaboutsmoking	attitude	P
Believe I won't smoke as an adult	attitude	question	numeric	initiation		behavior	NA	cortes2005.r	cortes2005.r_believeiwontsmokeasanadult	attitude	P
Damage to own and others health is the worst about smoking	risk perception	question	numeric	initiation		behavior	NA	cortes2005.r	cortes2005.r_damagetoownandothershealthistheworstaboutsmoking	risk perception	P
Disagree that smoking makes you feel good	attitude	question	numeric	initiation		behavior	NA	cortes2005.r	cortes2005.r_disagreethatsmokingmakesyoufeelgood	attitude	P
expense is the worst about smoking	attitude	question	numeric	initiation		behavior	NA	cortes2005.r	cortes2005.r_expenseistheworstaboutsmoking	attitude	P
Never bought tobacco for personal use	behavior	question	numeric	initiation		behavior	NA	cortes2005.r	cortes2005.r_neverboughttobaccoforpersonaluse	behavior	P
Wouldn't take a cigarette from a friend	injunctive norm	question	numeric	initiation		behavior	NA	cortes2005.r	cortes2005.r_wouldnttakeacigarettefromafriend	injunctive norm	P
Belief that quitting is very difficult	self-efficacy	question	logical	cessation	inconsistent	belief		donze2007.r	donze2007.r_beliefthatquittingisverydifficult	self-efficacy	P
Quitting	behavior	question	logical	cessation	NA	behavior		donze2007.r	donze2007.r_quitting	behavior	P
acting as a smoker on stage	pending	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_actingasasmokeronstage		P
age	irrelevant	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_age		P
cigarette intrference in social life and laws that restrict smoking	external factor	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_cigaretteintrferenceinsociallifeandlawsthatrestrictsmoking		P
Drugs	external factor	question	text	cessation		belief		echer2008.r	echer2008.r_drugs	external factor	P
esthetical and smelling sense	attitude	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_estheticalandsmellingsense		P
Fear of withdrawal symptoms	attitude	question	text	cessation		belief		echer2008.r	echer2008.r_fearofwithdrawalsymptoms	attitude	P
getting annoyed about cigarette	attitude	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_gettingannoyedaboutcigarette		P
health concerns	risk perception	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_healthconcerns		P
health harm	risk perception	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_healthharm		P
health problem observation	risk perception	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_healthproblemobservation		P
health professional	pending	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_healthprofessional		P
influence of close people	injunctive norm	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_influenceofclosepeople		P
knowing health harms	risk perception	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_knowinghealthharms		P
life appreciation	attitude	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_lifeappreciation		P
media campaigns	irrelevant	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_mediacampaigns		P
Minimized abstinence syndrome	attitude	question	text	cessation		belief		echer2008.r	echer2008.r_minimizedabstinencesyndrome	attitude	P
money	external factor	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_money		P
participation in anti-smoking commission	external factor	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_participationinantismokingcommission		P
Professional intervention	external factor	question	text	cessation		belief		echer2008.r	echer2008.r_professionalintervention	external factor	P
Professional support -nurse, physician, dentist-	external factor	question	text	cessation		belief		echer2008.r	echer2008.r_professionalsupportnursephysiciandentist	external factor	P
received spiritual support	external factor	question	text	cessation		belief		echer2008.r	echer2008.r_receivedspiritualsupport		P
shame/frustration of being a smoker	attitude	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_shamefrustrationofbeingasmoker		P
Sharing experiences with quitters	self-efficacy	question	text	cessation		belief		echer2008.r	echer2008.r_sharingexperienceswithquitters	self-efficacy	P
smokers who refrain around quitters	descriptive norm	question	text	cessation		belief		echer2008.r	echer2008.r_smokerswhorefrainaroundquitters	descriptive norm	P
Social support	injunctive norm	question	text	cessation		belief		echer2008.r	echer2008.r_socialsupport	injunctive norm	P
Spiritual beliefs	attitude	question	text	cessation		belief		echer2008.r	echer2008.r_spiritualbeliefs	attitude	P
spiritual support	attitude	question	text	cessation	consistent	belief	NA	echer2008.r	echer2008.r_spiritualsupport	attitude	P
Support groups	external factor	question	text	cessation		belief		echer2008.r	echer2008.r_supportgroups	external factor	P
support groups provide quitting strategies	self-efficacy	question	text	cessation		belief		echer2008.r	echer2008.r_supportgroupsprovidequittingstrategies	self-efficacy	P
